method, size, measurement number, time
get_amat_0d_4c, 2000, 10, 0.011393
get_amat_0d_4d, 2000, 10, 0.010878
get_amat_0d,    4000,  1, 1.185084
get_amat_0ds,   4000,  1, 1.178155
get_amat_0d_1,  4000,  1, 0.264852
get_amat_0d_1a, 4000,  1, 0.038938
get_amat_0d_1c, 4000,  1, 0.043720
get_amat_0d_1d, 4000,  1, 0.037677
get_amat_0d_2a, 4000,  1, 0.039039
get_amat_0d_3a, 4000,  1, 0.033668
get_amat_0d_3b, 4000,  1, 0.036001
get_amat_0d_4a, 4000,  1, 0.037695
get_amat_0d_4c, 4000,  1, 0.040167
get_amat_0d_4d, 4000,  1, 0.033578
get_amat_0d,    4000,  2, 1.189844
get_amat_0ds,   4000,  2, 1.218265
get_amat_0d_1,  4000,  2, 0.265198
get_amat_0d_1a, 4000,  2, 0.039126
get_amat_0d_1c, 4000,  2, 0.045101
get_amat_0d_1d, 4000,  2, 0.036818
get_amat_0d_2a, 4000,  2, 0.039054
get_amat_0d_3a, 4000,  2, 0.034708
get_amat_0d_3b, 4000,  2, 0.037765
get_amat_0d_4a, 4000,  2, 0.036261
get_amat_0d_4c, 4000,  2, 0.043601
get_amat_0d_4d, 4000,  2, 0.035200
get_amat_0d,    4000,  3, 1.198921
get_amat_0ds,   4000,  3, 1.208445
get_amat_0d_1,  4000,  3, 0.270776
get_amat_0d_1a, 4000,  3, 0.037690
get_amat_0d_1c, 4000,  3, 0.046150
get_amat_0d_1d, 4000,  3, 0.040489
get_amat_0d_2a, 4000,  3, 0.039642
get_amat_0d_3a, 4000,  3, 0.032289
get_amat_0d_3b, 4000,  3, 0.044409
get_amat_0d_4a, 4000,  3, 0.037481
get_amat_0d_4c, 4000,  3, 0.044116
get_amat_0d_4d, 4000,  3, 0.041479
get_amat_0d,    4000,  4, 1.223355
get_amat_0ds,   4000,  4, 1.223906
get_amat_0d_1,  4000,  4, 0.271947
get_amat_0d_1a, 4000,  4, 0.040151
get_amat_0d_1c, 4000,  4, 0.042888
get_amat_0d_1d, 4000,  4, 0.036270
get_amat_0d_2a, 4000,  4, 0.037442
get_amat_0d_3a, 4000,  4, 0.029630
get_amat_0d_3b, 4000,  4, 0.041451
get_amat_0d_4a, 4000,  4, 0.033651
get_amat_0d_4c, 4000,  4, 0.042332
get_amat_0d_4d, 4000,  4, 0.038882
get_amat_0d,    4000,  5, 1.194041
get_amat_0ds,   4000,  5, 1.222778
get_amat_0d_1,  4000,  5, 0.271427
get_amat_0d_1a, 4000,  5, 0.038488
get_amat_0d_1c, 4000,  5, 0.042167
get_amat_0d_1d, 4000,  5, 0.036925
get_amat_0d_2a, 4000,  5, 0.038014
get_amat_0d_3a, 4000,  5, 0.031721
get_amat_0d_3b, 4000,  5, 0.041735
get_amat_0d_4a, 4000,  5, 0.036165
get_amat_0d_4c, 4000,  5, 0.046395
get_amat_0d_4d, 4000,  5, 0.037508
get_amat_0d,    4000,  6, 1.209599
get_amat_0ds,   4000,  6, 1.194625
get_amat_0d_1,  4000,  6, 0.254828
get_amat_0d_1a, 4000,  6, 0.040563
get_amat_0d_1c, 4000,  6, 0.044757
get_amat_0d_1d, 4000,  6, 0.037654
get_amat_0d_2a, 4000,  6, 0.040310
get_amat_0d_3a, 4000,  6, 0.032943
get_amat_0d_3b, 4000,  6, 0.042909
get_amat_0d_4a, 4000,  6, 0.036679
get_amat_0d_4c, 4000,  6, 0.043629
get_amat_0d_4d, 4000,  6, 0.036529
get_amat_0d,    4000,  7, 1.214867
get_amat_0ds,   4000,  7, 1.217342
get_amat_0d_1,  4000,  7, 0.296788
get_amat_0d_1a, 4000,  7, 0.038525
get_amat_0d_1c, 4000,  7, 0.051239
get_amat_0d_1d, 4000,  7, 0.046998
get_amat_0d_2a, 4000,  7, 0.038896
get_amat_0d_3a, 4000,  7, 0.035634
get_amat_0d_3b, 4000,  7, 0.047053
get_amat_0d_4a, 4000,  7, 0.038244
get_amat_0d_4c, 4000,  7, 0.047133
get_amat_0d_4d, 4000,  7, 0.042872
get_amat_0d,    4000,  8, 1.201832
get_amat_0ds,   4000,  8, 1.227410
get_amat_0d_1,  4000,  8, 0.266500
get_amat_0d_1a, 4000,  8, 0.041381
get_amat_0d_1c, 4000,  8, 0.047686
get_amat_0d_1d, 4000,  8, 0.043570
get_amat_0d_2a, 4000,  8, 0.039789
get_amat_0d_3a, 4000,  8, 0.033378
get_amat_0d_3b, 4000,  8, 0.044130
get_amat_0d_4a, 4000,  8, 0.038402
get_amat_0d_4c, 4000,  8, 0.045975
get_amat_0d_4d, 4000,  8, 0.042210
get_amat_0d,    4000,  9, 1.171057
get_amat_0ds,   4000,  9, 1.231972
get_amat_0d_1,  4000,  9, 0.274086
get_amat_0d_1a, 4000,  9, 0.037231
get_amat_0d_1c, 4000,  9, 0.048288
get_amat_0d_1d, 4000,  9, 0.040814
get_amat_0d_2a, 4000,  9, 0.037255
get_amat_0d_3a, 4000,  9, 0.031272
get_amat_0d_3b, 4000,  9, 0.044381
get_amat_0d_4a, 4000,  9, 0.036250
get_amat_0d_4c, 4000,  9, 0.047147
get_amat_0d_4d, 4000,  9, 0.042654
get_amat_0d,    4000, 10, 1.201786
get_amat_0ds,   4000, 10, 1.191936
get_amat_0d_1,  4000, 10, 0.260234
get_amat_0d_1a, 4000, 10, 0.038816
get_amat_0d_1c, 4000, 10, 0.042697
get_amat_0d_1d, 4000, 10, 0.036694
get_amat_0d_2a, 4000, 10, 0.041093
